match_id,date,venue,player,team,opponent,runs,balls,fours,sixes,wickets,balls_bowled,runs_conceded,economy,strike_rate,fantasy_points
1426261,2024-04-09,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",TM Head,Sunrisers Hyderabad,Punjab Kings,21,15,4,0,0,0,0,,140.0,39
1426261,2024-04-09,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",K Rabada,Punjab Kings,Sunrisers Hyderabad,0,0,0,0,1,25,33,7.92,,30
1426261,2024-04-09,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Abhishek Sharma,Sunrisers Hyderabad,Punjab Kings,16,12,2,1,0,0,0,,133.33,32
1426261,2024-04-09,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Arshdeep Singh,Punjab Kings,Sunrisers Hyderabad,0,0,0,0,4,26,29,6.69,,122
1426261,2024-04-09,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",AK Markram,Sunrisers Hyderabad,Punjab Kings,0,2,0,0,0,0,0,,,-2
1426261,2024-04-09,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Nithish Kumar Reddy,Sunrisers Hyderabad,Punjab Kings,64,38,4,5,1,19,33,10.42,168.42,144
1426261,2024-04-09,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",SM Curran,Punjab Kings,Sunrisers Hyderabad,29,22,2,2,2,25,41,9.84,131.82,111
1426261,2024-04-09,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",HV Patel,Punjab Kings,Sunrisers Hyderabad,0,0,0,0,2,25,30,7.2,,60
1426261,2024-04-09,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",RA Tripathi,Sunrisers Hyderabad,Punjab Kings,11,14,1,0,0,0,0,,78.57,15
1426261,2024-04-09,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Harpreet Brar,Punjab Kings,Sunrisers Hyderabad,0,0,0,0,0,24,49,12.25,,0
1426261,2024-04-09,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",H Klaasen,Sunrisers Hyderabad,Punjab Kings,9,9,1,0,0,0,0,,100.0,13
1426261,2024-04-09,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Abdul Samad,Sunrisers Hyderabad,Punjab Kings,25,13,5,0,0,0,0,,192.31,51
1426261,2024-04-09,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Shahbaz Ahmed,Sunrisers Hyderabad,Punjab Kings,14,8,1,1,0,6,10,,175.0,24
1426261,2024-04-09,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",PJ Cummins,Sunrisers Hyderabad,Punjab Kings,3,5,0,0,1,24,22,5.5,60.0,37
1426261,2024-04-09,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",B Kumar,Sunrisers Hyderabad,Punjab Kings,6,8,0,0,2,26,33,7.62,75.0,66
1426261,2024-04-09,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",JD Unadkat,Sunrisers Hyderabad,Punjab Kings,6,1,0,1,1,27,49,10.89,600.0,42
1426261,2024-04-09,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",S Dhawan,Punjab Kings,Sunrisers Hyderabad,14,16,2,0,0,0,0,,87.5,22
1426261,2024-04-09,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",JM Bairstow,Punjab Kings,Sunrisers Hyderabad,0,3,0,0,0,0,0,,,-2
1426261,2024-04-09,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",P Simran Singh,Punjab Kings,Sunrisers Hyderabad,4,6,1,0,0,0,0,,66.67,8
1426261,2024-04-09,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Sikandar Raza,Punjab Kings,Sunrisers Hyderabad,28,22,2,2,0,0,0,,127.27,48
1426261,2024-04-09,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",T Natarajan,Sunrisers Hyderabad,Punjab Kings,0,0,0,0,1,24,33,8.25,,30
1426261,2024-04-09,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Shashank Singh,Punjab Kings,Sunrisers Hyderabad,46,27,6,1,0,0,0,,170.37,82
1426261,2024-04-09,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",JM Sharma,Punjab Kings,Sunrisers Hyderabad,19,12,1,1,0,0,0,,158.33,33
1426261,2024-04-09,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Ashutosh Sharma,Punjab Kings,Sunrisers Hyderabad,33,18,3,2,0,0,0,,183.33,63
1359507,2023-04-23,"Eden Gardens, Kolkata",RD Gaikwad,Chennai Super Kings,Kolkata Knight Riders,35,20,2,3,0,0,0,,175.0,67
1359507,2023-04-23,"Eden Gardens, Kolkata",UT Yadav,Kolkata Knight Riders,Chennai Super Kings,4,6,0,0,0,18,35,11.67,66.67,4
1359507,2023-04-23,"Eden Gardens, Kolkata",DP Conway,Chennai Super Kings,Kolkata Knight Riders,56,40,4,3,0,0,0,,140.0,92
1359507,2023-04-23,"Eden Gardens, Kolkata",D Wiese,Kolkata Knight Riders,Chennai Super Kings,1,2,0,0,0,18,38,12.67,50.0,1
1359507,2023-04-23,"Eden Gardens, Kolkata",CV Varun,Kolkata Knight Riders,Chennai Super Kings,0,3,0,0,1,24,49,12.25,,30
1359507,2023-04-23,"Eden Gardens, Kolkata",K Khejroliya,Kolkata Knight Riders,Chennai Super Kings,0,0,0,0,2,19,44,13.89,,60
1359507,2023-04-23,"Eden Gardens, Kolkata",SP Narine,Kolkata Knight Riders,Chennai Super Kings,0,3,0,0,0,12,23,11.5,,-2
1359507,2023-04-23,"Eden Gardens, Kolkata",Suyash Sharma,Kolkata Knight Riders,Chennai Super Kings,0,0,0,0,1,24,29,7.25,,30
1359507,2023-04-23,"Eden Gardens, Kolkata",AM Rahane,Chennai Super Kings,Kolkata Knight Riders,71,31,6,5,0,0,0,,229.03,131
1359507,2023-04-23,"Eden Gardens, Kolkata",S Dube,Chennai Super Kings,Kolkata Knight Riders,50,21,2,5,0,0,0,,238.1,94
1359507,2023-04-23,"Eden Gardens, Kolkata",AD Russell,Kolkata Knight Riders,Chennai Super Kings,9,7,0,1,0,8,17,,128.57,15
1359507,2023-04-23,"Eden Gardens, Kolkata",RA Jadeja,Chennai Super Kings,Kolkata Knight Riders,18,8,0,2,1,18,34,11.33,225.0,60
1359507,2023-04-23,"Eden Gardens, Kolkata",MS Dhoni,Chennai Super Kings,Kolkata Knight Riders,2,3,0,0,0,0,0,,66.67,2
1359507,2023-04-23,"Eden Gardens, Kolkata",N Jagadeesan,Kolkata Knight Riders,Chennai Super Kings,1,3,0,0,0,0,0,,33.33,1
1359507,2023-04-23,"Eden Gardens, Kolkata",Akash Singh,Chennai Super Kings,Kolkata Knight Riders,0,0,0,0,1,25,29,6.96,,32
1359507,2023-04-23,"Eden Gardens, Kolkata",VR Iyer,Kolkata Knight Riders,Chennai Super Kings,20,21,2,1,0,0,0,,95.24,34
1359507,2023-04-23,"Eden Gardens, Kolkata",TU Deshpande,Chennai Super Kings,Kolkata Knight Riders,0,0,0,0,2,28,44,9.43,,60
1359507,2023-04-23,"Eden Gardens, Kolkata",N Rana,Kolkata Knight Riders,Chennai Super Kings,27,21,4,1,0,0,0,,128.57,49
1359507,2023-04-23,"Eden Gardens, Kolkata",M Theekshana,Chennai Super Kings,Kolkata Knight Riders,0,0,0,0,2,25,32,7.68,,60
1359507,2023-04-23,"Eden Gardens, Kolkata",MM Ali,Chennai Super Kings,Kolkata Knight Riders,0,0,0,0,1,6,20,,,30
1359507,2023-04-23,"Eden Gardens, Kolkata",JJ Roy,Kolkata Knight Riders,Chennai Super Kings,61,27,5,5,0,0,0,,225.93,117
1359507,2023-04-23,"Eden Gardens, Kolkata",RK Singh,Kolkata Knight Riders,Chennai Super Kings,53,36,3,4,0,0,0,,147.22,91
1359507,2023-04-23,"Eden Gardens, Kolkata",M Pathirana,Chennai Super Kings,Kolkata Knight Riders,0,0,0,0,1,27,27,6.0,,32
392217,2009-05-09,De Beers Diamond Oval,GC Smith,Rajasthan Royals,Chennai Super Kings,30,33,2,0,0,0,0,,90.91,38
392217,2009-05-09,De Beers Diamond Oval,JA Morkel,Chennai Super Kings,Rajasthan Royals,0,0,0,0,1,19,24,7.58,,30
392217,2009-05-09,De Beers Diamond Oval,NV Ojha,Rajasthan Royals,Chennai Super Kings,0,2,0,0,0,0,0,,,-2
392217,2009-05-09,De Beers Diamond Oval,SA Asnodkar,Rajasthan Royals,Chennai Super Kings,26,26,3,1,0,0,0,,100.0,44
392217,2009-05-09,De Beers Diamond Oval,S Tyagi,Chennai Super Kings,Rajasthan Royals,0,0,0,0,0,12,12,6.0,,2
392217,2009-05-09,De Beers Diamond Oval,L Balaji,Chennai Super Kings,Rajasthan Royals,0,0,0,0,1,18,16,5.33,,34
392217,2009-05-09,De Beers Diamond Oval,JDP Oram,Chennai Super Kings,Rajasthan Royals,1,2,0,0,0,6,9,,50.0,1
392217,2009-05-09,De Beers Diamond Oval,M Muralitharan,Chennai Super Kings,Rajasthan Royals,0,0,0,0,2,24,23,5.75,,64
392217,2009-05-09,De Beers Diamond Oval,SB Jakati,Chennai Super Kings,Rajasthan Royals,0,0,0,0,2,25,35,8.4,,60
392217,2009-05-09,De Beers Diamond Oval,RA Jadeja,Rajasthan Royals,Chennai Super Kings,27,19,3,1,0,14,16,6.86,142.11,49
392217,2009-05-09,De Beers Diamond Oval,SK Raina,Chennai Super Kings,Rajasthan Royals,13,12,1,1,0,18,21,7.0,108.33,25
392217,2009-05-09,De Beers Diamond Oval,YK Pathan,Rajasthan Royals,Chennai Super Kings,7,11,0,1,0,25,28,6.72,63.64,15
392217,2009-05-09,De Beers Diamond Oval,LA Carseldine,Rajasthan Royals,Chennai Super Kings,9,8,1,0,0,0,0,,112.5,13
392217,2009-05-09,De Beers Diamond Oval,AS Raut,Rajasthan Royals,Chennai Super Kings,7,5,0,1,0,0,0,,140.0,13
392217,2009-05-09,De Beers Diamond Oval,SK Warne,Rajasthan Royals,Chennai Super Kings,21,11,2,1,1,27,27,6.0,190.91,73
392217,2009-05-09,De Beers Diamond Oval,SM Harwood,Rajasthan Royals,Chennai Super Kings,6,7,0,0,0,13,22,10.15,85.71,6
392217,2009-05-09,De Beers Diamond Oval,M Vijay,Chennai Super Kings,Rajasthan Royals,10,13,0,1,0,0,0,,76.92,16
392217,2009-05-09,De Beers Diamond Oval,ML Hayden,Chennai Super Kings,Rajasthan Royals,48,46,4,1,0,0,0,,104.35,70
392217,2009-05-09,De Beers Diamond Oval,A Singh,Rajasthan Royals,Chennai Super Kings,0,0,0,0,1,18,25,8.33,,30
392217,2009-05-09,De Beers Diamond Oval,SK Trivedi,Rajasthan Royals,Chennai Super Kings,0,0,0,0,1,19,23,7.26,,30
392217,2009-05-09,De Beers Diamond Oval,S Badrinath,Chennai Super Kings,Rajasthan Royals,59,43,9,1,0,0,0,,137.21,103
1254112,2021-10-02,Sharjah Cricket Stadium,RG Sharma,Mumbai Indians,Delhi Capitals,7,11,1,0,0,0,0,,63.64,11
1254112,2021-10-02,Sharjah Cricket Stadium,A Nortje,Delhi Capitals,Mumbai Indians,0,0,0,0,1,24,19,4.75,,36
1254112,2021-10-02,Sharjah Cricket Stadium,Q de Kock,Mumbai Indians,Delhi Capitals,19,18,1,1,0,0,0,,105.56,29
